Formula,Name,Weight g/mol,Solubility g/100mL,Supplied Constituent #1,A to B ,B to A,Supplied #2 ,A to C,C to A
Formula,Name,Weight,Solubility,Constituent1,AB,BA,Constituent2,AC,CA
AMH4NO3,Ammonium Nitrate,80.043,192,NH4,0.225378859,4.436973392,NO3,0.774583661,1.291016129
KNO3,Potassium Nitrate,101.1,13.3,K,0.386728981,2.585790175,NO3,0.613254204,1.630645161
Ca(NO3)2,Calcium Nitrate,164.1,121.2,Ca,0.244229129,4.094515694,NO3,0.755636807,1.323387097
(NH4)2SO4,Ammonium Sulfate,132.12,70.6,NH4,0.273085074,3.661862528,SO4,0.727066303,1.375390381
NH4H2PO4,Ammonium Phosphate monobasic,115.02,22.7,NH4,0.156842288,6.375831486,PO4,0.851777082,1.17401609
KH2PO4,Monopotassium phosphate,136.1,33,K,0.287276267,3.480969761,PO4,0.719848641,1.389180924
KCl,Potassium Chloride,74.55,34.7,K,0.524457411,1.906732518,Cl,0.475560027,2.102783968
K2SO4,Potassium Sulfate,174.3,12,K,0.448632243,2.228997169,SO4,0.551118761,1.814490943
Ca(H2PO4)2,Monocalcium Phosphate,234.05,1.8,Ca,0.171236915,5.839862269,PO4,0.837183508,1.194481247
MgSO4 * 7 H2O,Magnesium Sulfate,246.47,71,Mg,0.098612407,10.14071179,SO4,0.389743174,2.565792213
CaCl2 * 2H2O,Calcium Chloride,146.984,74.5,Ca,0.272669134,3.667448475,Cl,0.482406248,2.072941641
CaSO4 * 2H2O,Calcium Sulfate,172.2,0.209,Ca,0.232740999,4.296621588,SO4,0.557839721,1.792629606
H3PO4,Phosphoric Acid,98,548,PO4,0.999708163,1.000291922,,,
K2O3Si,Potassium silicate,154.28,0.0336,K,0.506848587,1.972975807,SiO2,0.38942183,2.567909454
FeSO4 * 7H2O,Ferrous Sulfate,278,15.65,Fe,0.200881295,4.978064285,SO4,0.345539568,2.894024568
FeCl3 * 6H2O,Ferric Chloride,270.3,,Fe,0.206603774,4.840182648,Cl,0.393485017,2.54139283
FeDTPA (sprint 330),Iron Chelate (10%),468.15,,Fe,0.11928869,8.383024443,,,
FeEDTA (sequestrene),Iron Chelate (10.5%),382.1,,Fe,0.14615284,6.842152386,,,
H3BO3,Boric Acid,61.8,6.35,B,0.174935275,5.716399963,,,
Na2B8O13 * 4H2O,Disodium octaborate,412.52,,B,0.026207214,38.15743224,Na,0.111456414,8.972117099
Na2B4O7 * 10H2O,Borax,381.4,,B,0.028345569,35.27888262,Na,0.120550603,8.295271652
CuSO4 * 5H2O,Copper sulfate,249.7,31.6,Cu,0.254489387,3.929436943,SO4,0.384701642,2.599417031
MnSO4 * 4H2O,Manganese Sulfate,223.1,52,Mn,0.246248516,4.060938172,SO4,0.430569251,2.322506767
MnCl2 * 4H2O ,Manganese Chloride,197.9,151,Mn,0.277605073,3.602239643,Cl,0.358292067,2.791019096
ZnSO4 * 7H2O,Zinc Sulfate,287.6,96.5,Zn,0.227329624,4.398898746,SO4,0.334005563,2.993962107
ZnCl2,Zinc Chloride,136.3,,Zn,0.479677183,2.084735393,Cl,0.520220103,1.922263278
(NH4)6Mo7O24,Ammonium Molybdate,1163.8,,NH4,0.015500945,64.51219512,Mo,0.082436845,12.13049823
Na2MoO4,Sodium Molybdate,205.92,,Mo,0.465909091,2.146341463,Na,0.223280886,4.478663709
ZnEDTA,Zinc Chelate,431.6,,Zn,0.151482854,6.601407158,,,
MnEDTA,Manganese Chelate,381.2,,Mn,0.144118688,6.938725376,,,
